DATE,PERIOD,LFSI.M.U2.S.UNEHRT.TOTAL0.15_74.T,CP0000EZ19M086NEST
31/01/1996,1996Jan,10.9,70.4
29/02/1996,1996Feb,10.9,70.71
31/03/1996,1996Mar,10.9,71.01
30/04/1996,1996Apr,11,71.14
31/05/1996,1996May,11,71.32
30/06/1996,1996Jun,11.1,71.33
31/07/1996,1996Jul,11,71.31
31/08/1996,1996Aug,11,71.27
30/09/1996,1996Sep,11,71.44
31/10/1996,1996Oct,11,71.52
30/11/1996,1996Nov,11,71.53
31/12/1996,1996Dec,11,71.73
31/01/1997,1997Jan,11,71.95
28/02/1997,1997Feb,11,72.11
31/03/1997,1997Mar,11,72.2
30/04/1997,1997Apr,11,72.18
31/05/1997,1997May,11,72.38
30/06/1997,1997Jun,11,72.41
31/07/1997,1997Jul,10.9,72.46
31/08/1997,1997Aug,10.9,72.58
30/09/1997,1997Sep,10.8,72.65
31/10/1997,1997Oct,10.8,72.69
30/11/1997,1997Nov,10.8,72.79
31/12/1997,1997Dec,10.7,72.88
31/01/1998,1998Jan,10.6,72.82
28/02/1998,1998Feb,10.6,73
31/03/1998,1998Mar,10.5,73.1
30/04/1998,1998Apr,10.5,73.28
31/05/1998,1998May,10.5,73.43
30/06/1998,1998Jun,10.5,73.47
31/07/1998,1998Jul,10.4,73.47
31/08/1998,1998Aug,10.3,73.49
30/09/1998,1998Sep,10.3,73.47
31/10/1998,1998Oct,10.2,73.45
30/11/1998,1998Nov,10.1,73.45
31/12/1998,1998Dec,10.1,73.49
31/01/1999,1999Jan,9.9,73.44
28/02/1999,1999Feb,9.8,73.61
31/03/1999,1999Mar,9.7,73.85
30/04/1999,1999Apr,9.7,74.11
31/05/1999,1999May,9.6,74.16
30/06/1999,1999Jun,9.6,74.16
31/07/1999,1999Jul,9.5,74.26
31/08/1999,1999Aug,9.4,74.35
30/09/1999,1999Sep,9.3,74.43
31/10/1999,1999Oct,9.2,74.47
30/11/1999,1999Nov,9.2,74.57
31/12/1999,1999Dec,9.1,74.83
31/01/2000,2000Jan,9,74.86
29/02/2000,2000Feb,8.9,75.1
31/03/2000,2000Mar,8.8,75.37
30/04/2000,2000Apr,8.7,75.45
31/05/2000,2000May,8.6,75.54
30/06/2000,2000Jun,8.6,75.8
31/07/2000,2000Jul,8.5,75.87
31/08/2000,2000Aug,8.5,75.93
30/09/2000,2000Sep,8.4,76.26
31/10/2000,2000Oct,8.3,76.3
30/11/2000,2000Nov,8.2,76.46
31/12/2000,2000Dec,8.2,76.75
31/01/2001,2001Jan,8.1,76.43
28/02/2001,2001Feb,8.1,76.66
31/03/2001,2001Mar,8,77.07
30/04/2001,2001Apr,8,77.54
31/05/2001,2001May,8,77.9
30/06/2001,2001Jun,8,78.02
31/07/2001,2001Jul,8,77.84
31/08/2001,2001Aug,8,77.78
30/09/2001,2001Sep,8.1,77.99
31/10/2001,2001Oct,8.1,78.06
30/11/2001,2001Nov,8.1,78.01
31/12/2001,2001Dec,8.2,78.36
31/01/2002,2002Jan,8.2,78.45
28/02/2002,2002Feb,8.2,78.58
31/03/2002,2002Mar,8.2,79.02
30/04/2002,2002Apr,8.3,79.38
31/05/2002,2002May,8.3,79.52
30/06/2002,2002Jun,8.4,79.49
31/07/2002,2002Jul,8.5,79.41
31/08/2002,2002Aug,8.5,79.46
30/09/2002,2002Sep,8.6,79.66
31/10/2002,2002Oct,8.6,79.85
30/11/2002,2002Nov,8.6,79.79
31/12/2002,2002Dec,8.7,80.17
31/01/2003,2003Jan,8.8,80.14
28/02/2003,2003Feb,8.9,80.46
31/03/2003,2003Mar,8.9,80.93
30/04/2003,2003Apr,8.9,81.05
31/05/2003,2003May,8.9,81
30/06/2003,2003Jun,9,81.1
31/07/2003,2003Jul,9,80.98
31/08/2003,2003Aug,8.9,81.1
30/09/2003,2003Sep,9,81.39
31/10/2003,2003Oct,9,81.51
30/11/2003,2003Nov,9,81.54
31/12/2003,2003Dec,9.1,81.79
31/01/2004,2004Jan,9.1,81.61
29/02/2004,2004Feb,9.1,81.8
31/03/2004,2004Mar,9.2,82.32
30/04/2004,2004Apr,9.2,82.74
31/05/2004,2004May,9.2,83.01
30/06/2004,2004Jun,9.1,83.05
31/07/2004,2004Jul,9.1,82.88
31/08/2004,2004Aug,9.2,83.04
30/09/2004,2004Sep,9.2,83.14
31/10/2004,2004Oct,9.2,83.46
30/11/2004,2004Nov,9.2,83.4
31/12/2004,2004Dec,9.2,83.72
31/01/2005,2005Jan,9.1,83.2
28/02/2005,2005Feb,9.1,83.5
31/03/2005,2005Mar,9.1,84.12
30/04/2005,2005Apr,9.2,84.47
31/05/2005,2005May,9.2,84.66
30/06/2005,2005Jun,9.2,84.75
31/07/2005,2005Jul,9.1,84.66
31/08/2005,2005Aug,9,84.86
30/09/2005,2005Sep,9.1,85.3
31/10/2005,2005Oct,9.1,85.52
30/11/2005,2005Nov,9,85.33
31/12/2005,2005Dec,9,85.62
31/01/2006,2006Jan,8.9,85.24
28/02/2006,2006Feb,8.8,85.48
31/03/2006,2006Mar,8.8,85.98
30/04/2006,2006Apr,8.7,86.55
31/05/2006,2006May,8.6,86.79
30/06/2006,2006Jun,8.5,86.85
31/07/2006,2006Jul,8.4,86.75
31/08/2006,2006Aug,8.4,86.83
30/09/2006,2006Sep,8.3,86.83
31/10/2006,2006Oct,8.2,86.9
30/11/2006,2006Nov,8.1,86.94
31/12/2006,2006Dec,8,87.27
31/01/2007,2007Jan,8,86.83
28/02/2007,2007Feb,7.9,87.08
31/03/2007,2007Mar,7.8,87.66
30/04/2007,2007Apr,7.7,88.22
31/05/2007,2007May,7.6,88.43
30/06/2007,2007Jun,7.6,88.52
31/07/2007,2007Jul,7.6,88.31
31/08/2007,2007Aug,7.6,88.37
30/09/2007,2007Sep,7.5,88.71
31/10/2007,2007Oct,7.5,89.15
30/11/2007,2007Nov,7.4,89.63
31/12/2007,2007Dec,7.5,89.98
31/01/2008,2008Jan,7.4,89.67
29/02/2008,2008Feb,7.4,89.98
31/03/2008,2008Mar,7.3,90.87
30/04/2008,2008Apr,7.4,91.17
31/05/2008,2008May,7.5,91.74
30/06/2008,2008Jun,7.6,92.09
31/07/2008,2008Jul,7.6,91.95
31/08/2008,2008Aug,7.7,91.82
30/09/2008,2008Sep,7.7,92
31/10/2008,2008Oct,7.9,92.03
30/11/2008,2008Nov,8.1,91.59
31/12/2008,2008Dec,8.3,91.47
31/01/2009,2009Jan,8.7,90.73
28/02/2009,2009Feb,9,91.1
31/03/2009,2009Mar,9.3,91.44
30/04/2009,2009Apr,9.4,91.76
31/05/2009,2009May,9.5,91.8
30/06/2009,2009Jun,9.6,91.99
31/07/2009,2009Jul,9.7,91.38
31/08/2009,2009Aug,9.7,91.69
30/09/2009,2009Sep,9.9,91.71
31/10/2009,2009Oct,9.9,91.92
30/11/2009,2009Nov,10,92.02
31/12/2009,2009Dec,10,92.31
31/01/2010,2010Jan,10.1,91.56
28/02/2010,2010Feb,10.1,91.85
31/03/2010,2010Mar,10.1,92.86
30/04/2010,2010Apr,10.2,93.24
31/05/2010,2010May,10.2,93.35
30/06/2010,2010Jun,10.1,93.35
31/07/2010,2010Jul,10.1,92.95
31/08/2010,2010Aug,10,93.13
30/09/2010,2010Sep,10,93.42
31/10/2010,2010Oct,10.1,93.71
30/11/2010,2010Nov,10,93.79
31/12/2010,2010Dec,10,94.36
31/01/2011,2011Jan,10,93.69
28/02/2011,2011Feb,10,94.08
31/03/2011,2011Mar,10,95.35
30/04/2011,2011Apr,9.9,95.89
31/05/2011,2011May,10,95.9
30/06/2011,2011Jun,10,95.89
31/07/2011,2011Jul,10.1,95.34
31/08/2011,2011Aug,10.2,95.52
30/09/2011,2011Sep,10.3,96.22
31/10/2011,2011Oct,10.5,96.55
30/11/2011,2011Nov,10.6,96.64
31/12/2011,2011Dec,10.7,96.96
31/01/2012,2012Jan,10.8,96.18
29/02/2012,2012Feb,10.9,96.66
31/03/2012,2012Mar,11.1,97.91
30/04/2012,2012Apr,11.2,98.36
31/05/2012,2012May,11.3,98.23
30/06/2012,2012Jun,11.4,98.15
31/07/2012,2012Jul,11.5,97.64
31/08/2012,2012Aug,11.5,98.02
30/09/2012,2012Sep,11.6,98.73
31/10/2012,2012Oct,11.8,98.96
30/11/2012,2012Nov,11.9,98.76
31/12/2012,2012Dec,11.9,99.11
31/01/2013,2013Jan,12.2,98.09
28/02/2013,2013Feb,12.2,98.45
31/03/2013,2013Mar,12.2,99.61
30/04/2013,2013Apr,12.2,99.52
31/05/2013,2013May,12.2,99.63
30/06/2013,2013Jun,12.1,99.73
31/07/2013,2013Jul,12.1,99.2
31/08/2013,2013Aug,12,99.32
30/09/2013,2013Sep,12.1,99.8
31/10/2013,2013Oct,12,99.68
30/11/2013,2013Nov,12,99.6
31/12/2013,2013Dec,11.9,99.95
31/01/2014,2014Jan,12,98.84
28/02/2014,2014Feb,12,99.14
31/03/2014,2014Mar,11.9,100.07
30/04/2014,2014Apr,11.8,100.22
31/05/2014,2014May,11.7,100.11
30/06/2014,2014Jun,11.5,100.22
31/07/2014,2014Jul,11.6,99.57
31/08/2014,2014Aug,11.5,99.68
30/09/2014,2014Sep,11.6,100.12
31/10/2014,2014Oct,11.6,100.06
30/11/2014,2014Nov,11.6,99.88
31/12/2014,2014Dec,11.4,99.78
31/01/2015,2015Jan,11.3,98.24
28/02/2015,2015Feb,11.3,98.85
31/03/2015,2015Mar,11.3,100
30/04/2015,2015Apr,11.1,100.43
31/05/2015,2015May,11.1,100.71
30/06/2015,2015Jun,11,100.72
31/07/2015,2015Jul,10.8,100.11
31/08/2015,2015Aug,10.7,100.12
30/09/2015,2015Sep,10.7,100.32
31/10/2015,2015Oct,10.7,100.45
30/11/2015,2015Nov,10.5,100.01
31/12/2015,2015Dec,10.5,100.03
31/01/2016,2016Jan,10.4,98.56
29/02/2016,2016Feb,10.4,98.73
31/03/2016,2016Mar,10.3,99.96
30/04/2016,2016Apr,10.3,100.17
31/05/2016,2016May,10.2,100.59
30/06/2016,2016Jun,10.1,100.77
31/07/2016,2016Jul,10,100.28
31/08/2016,2016Aug,9.9,100.34
30/09/2016,2016Sep,9.9,100.72
31/10/2016,2016Oct,9.8,100.96
30/11/2016,2016Nov,9.9,100.6
31/12/2016,2016Dec,9.7,101.13
31/01/2017,2017Jan,9.6,100.26
28/02/2017,2017Feb,9.5,100.66
31/03/2017,2017Mar,9.5,101.49
30/04/2017,2017Apr,9.3,102.07
31/05/2017,2017May,9.3,101.98
30/06/2017,2017Jun,9.1,102.08
31/07/2017,2017Jul,9.1,101.62
31/08/2017,2017Aug,9,101.89
30/09/2017,2017Sep,8.9,102.29
31/10/2017,2017Oct,8.8,102.34
30/11/2017,2017Nov,8.7,102.14
31/12/2017,2017Dec,8.7,102.49
31/01/2018,2018Jan,8.7,101.56
28/02/2018,2018Feb,8.6,101.78
31/03/2018,2018Mar,8.5,102.91
30/04/2018,2018Apr,8.4,103.32
31/05/2018,2018May,8.3,103.97
30/06/2018,2018Jun,8.2,104.09
31/07/2018,2018Jul,8.1,103.85
31/08/2018,2018Aug,8,104.01
30/09/2018,2018Sep,8,104.42
31/10/2018,2018Oct,8,104.68
30/11/2018,2018Nov,7.9,104.1
31/12/2018,2018Dec,7.9,104.05
31/01/2019,2019Jan,7.9,102.97
28/02/2019,2019Feb,7.8,103.3
31/03/2019,2019Mar,7.8,104.35
30/04/2019,2019Apr,7.7,105.1
31/05/2019,2019May,7.6,105.24
30/06/2019,2019Jun,7.5,105.41
31/07/2019,2019Jul,7.5,104.91
31/08/2019,2019Aug,7.5,105.06
30/09/2019,2019Sep,7.5,105.29
31/10/2019,2019Oct,7.4,105.44
30/11/2019,2019Nov,7.5,105.1
31/12/2019,2019Dec,7.5,105.43
31/01/2020,2020Jan,7.5,104.37
29/02/2020,2020Feb,7.3,104.56
31/03/2020,2020Mar,7.2,105.13
30/04/2020,2020Apr,7.4,105.43
31/05/2020,2020May,7.7,105.33
30/06/2020,2020Jun,8.1,105.69
31/07/2020,2020Jul,8.5,105.32
31/08/2020,2020Aug,8.7,104.88
30/09/2020,2020Sep,8.6,104.96
31/10/2020,2020Oct,8.4,105.15
30/11/2020,2020Nov,8.2,104.8
31/12/2020,2020Dec,8.2,105.15
31/01/2021,2021Jan,8.3,105.32
28/02/2021,2021Feb,8.3,105.54
31/03/2021,2021Mar,8.2,106.53
30/04/2021,2021Apr,8.3,107.14
31/05/2021,2021May,8.1,107.42
30/06/2021,2021Jun,7.9,107.7
31/07/2021,2021Jul,7.7,107.6
